qid,label
Q100103,West Flemish
Q100143012,Nachtjargon
Q100148307,Chinese (Hong Kong)
Q100251275,South Asians
Q1002570,Buginese people
Q1003039,Chinese Singaporeans
Q100385760,Belgian Jews
Q100510227,Cambodians
Q100938408,Fort Peck Assiniboine and Sioux Tribes
Q101085467,Saint Lucians
Q101094841,Western Europeans
Q101210036,Uzbekistanis
Q101242814,Greeks
Q101244711,Indian Nepali
Q10134,Klingon
Q101452272,Azerbaijanis
Q1014854,Romani people in Burgenland
Q101500220,Macedonians
Q101540760,Français et Anglais
Q10179,Zulu
Q101828,Ainu people
Q10196,Aranese
Q10199,Zazaki
Q1020828,Graubünden/Grisons dialect
Q102090,Apache
Q102172,Limburgish language
Q102183245,Cameroonian French
Q102193349,Slovenes
Q102251,Sephardi Jews
Q102394749,AO
Q1024920,Caboclo
Q1026,Poles
Q1026107,Kaqchikel people
Q102611190,Cook Islanders
Q1026812,California English
Q1028,Morocco
Q1028240,Kayapo people
Q1028268,Terena people
Q1028277,Danezaa people
Q10290517,Talysh people
Q10291502,Gregoriano Canedo
Q10293521,hāfu
Q103051950,Niueans
Q10312754,Japanese Canadians
Q10322106,Ukrainian Sign Language
Q1033,Nigeria
Q10337366,Nordestino
Q1034036,Saudi Arabic
Q10340875,Omagua
Q103421721,Western Ukrainians
Q10344162,Pankara people
Q1036511,vernacular
Q10368504,Saterés
Q1037,Rwanda
Q10375164,Suruí de Rondônia
Q10378754,Czech-Brazilians
Q103817,indigenous people
Q1040944,Khuzestani Arabic
Q1041,Senegal
Q10412317,Anmatyerre
Q1041917,Spanish Americans
Q104415946,San Felipe Puebloans
Q104416444,Taos people
Q104439864,Kewa Puebloan
Q104440625,Santa Clara Pueblo
Q1045435,Mzimba District
Q1047264,Wampanoag people
Q104876826,Zimbabwean English
Q1048980,Singaporean Mandarin
Q1049,Sudan
Q105046944,Virgin Islanders
Q10510745,Gumatj
Q10535532,Ingrian dialects
Q10536777,Iroquois people
Q105405,Cherokee
Q105465076,Nanuni
Q10549839,Kukatja
Q1056744,Italian Argentines
Q1057284,Portuñol
Q1057292,Don Cossacks
Q1058496,Dutch Americans
Q1059053,Oroqen people
Q1059355,Chakma people
Q1060050,Afro-Russians
Q106085,North Germanic
Q1060991,Chamorro people
Q1061510,Egyptians
Q106373055,Mole-Dagbani
Q106398670,Bhoyari
Q106416,Frisians
Q1064264,Serbs in Romania
Q1064662,Serbs of Bosnia and Herzegovina
Q106490539,Bole
Q106490649,Fulani
Q106491136,Karai-Karai people
Q1065371,Italian Brazilians
Q1065583,Potawatomi
Q106684365,Ndebele people
Q106713,mestizo
Q1067878,Urdu Wikipedia
Q1067977,hazzan
Q106801672,Chamba
Q106807733,Tuvaluans
Q106974,Ossetians
Q106991,Chukchis
Q107062544,Arabic-English Thematic Lexicon
Q107100968,Huáyǔ
Q10713,Luwian
Q1071514,Russians in Finland
Q1072111,Galician–Portuguese
Q1072137,Chichimeca
Q107220118,Red Lake Band of Ojibwe
Q10728608,överkalixmål
Q107301856,"indigenous peoples of Chiapas, Mexico"
Q107351799,Urhobo
Q107358,Koine Greek
Q107434,Sioux
Q1074730,Chiricahua
Q1075293,Irish Americans
Q1075302,Arbëresh
Q1075929,African people
Q10782760,Eastern Turkic
Q10800567,Vietnamese Australians
Q108085600,Romani people in the United Kingdom
Q1081323,Bresciano
Q108158620,Brussels French
Q108266,Navajo
Q1083957,Christian Arabic
Q108419069,Southern Low Alemannic German of Alsace
Q10859769,Iranians in the United Kingdom
Q10867404,Sabah Malay
Q10872633,Manobo people
Q1087991,Portuguese Africans
Q1088025,Old Spanish
Q109038523,Guin
Q10904122,北马福建话
Q1091534,Limonese Creole
Q1092641,Luxembourgers
Q109311583,Britons in Venezuela
Q109318275,Auvergne Romani
Q1093676,Nissart
Q109402,Aymara
Q10948482,Mandarin
Q109591499,Afro-Indigeneity
Q109704308,Pedah: hommes de l'eau
Q10975121,Cebaara
Q10984756,Neoslavonic
Q109974444,Brohi Charan
Q11005360,Shubi
Q11008655,Khana
Q11010149,Aka
Q11015105,Gbagyi
Q11020264,Sissala
Q110223,Mennonites
Q11023714,Chistabin Aragonese
Q11028135,Nandi–Markweta
Q110313491,English New Zealanders
Q1103973,Hungarian Canadians
Q1105014,Kokama
Q11051,Hindustani
Q11059,Sanskrit
Q110617188,Georgians in Turkey
Q110627292,Solomon Islander
Q11071864,Truku
Q110858728,Algerian French
Q110859231,British Canadians
Q110884043,Italian English
Q110886759,Lebanese French
Q110903424,Polish French
Q110923182,Yankunytjatjara
Q11120689,Penang Hokkien
Q1112181,Ngāti Whātua
Q11124731,Wuhan dialect
Q1113048,Iranian Americans
Q11134434,Enwan Oron
Q11141722,Henan dialect
Q11151153,Haitian Township
Q111585908,Igbo
Q1115875,Colombian Spanish
Q11159524,Kagoro
Q1117020,Kurds in Turkey
Q111738634,Karaw
Q111828457,Galegos en Francia
Q111945432,Tangale people
Q111955164,South Asians in the United Kingdom
Q11210588,Ukrainians in Moldova
Q11221875,Serbs in Dalmatia
Q1123129,Teleuts
Q1123923,Nez Perce
Q11259242,Edo dialect
Q112663570,British Spanish people
Q11267380,Whadjuk
Q11269025,Ukrainians in Japan
Q11275553,Keliko
Q112964783,Gujarati Canadians
Q1129737,Lezgins
Q1130204,Coloured
Q1130350,Minangkabau
Q1130557,Negro
Q1131768,Valencian people
Q1131790,Cora people
Q1132647,Otomi
Q11334570,Black Indians in the United States
Q1133458,Hemshin peoples
Q11351813,Woshite script
Q1135531,Samoans
Q11356214,Mikawa dialect
Q113682092,Orutsararmiut Native Council
Q1137355,Kwakwaka'wakw
Q1137419,Kʼicheʼ
Q1137945,Andalusi Arabic
Q1138165,Ngāti Kahungunu
Q1138224,Cowlitz people
Q1138529,Glosa
Q113947627,Q'ero
Q1140588,Russian Americans
Q11408543,Nambu dialect
Q1142126,Selkup people
Q1142249,Urus
Q11426515,Saitama dialect
Q1142927,Hongkongers
Q1143462,Chin people
Q1143929,Kamba people
Q11441423,Osaka dialect
Q1144461,Japanese Brazilians
Q11445105,Nara dialect
Q1146100,Chinese Americans
Q1147606,Beijing dialect
Q114782,Sahaptian
Q11485811,Shōnai dialect
Q11491,Bangli
Q115026,Swedish Americans
Q11502947,Niigata dialect
Q1150312,Greek Americans
Q1150505,Румуни у Чернівецькій області
Q115138052,Sholyio
Q115138197,Fantswam
Q115138293,Gworog
Q115138342,Takad
Q115138503,Tyap Mabatado
Q115196460,gitanos catalans de França
Q115245048,Trinidadian Canadians
Q115245148,Trinidadian Americans
Q11535178,Tochigi dialect
Q1154419,Kombe people
Q115473,Hazaras
Q115475309,Ihioma
Q11554815,Senshū dialect
Q11561926,toraijin
Q1156228,South African English
Q1156766,Japanese Americans
Q11568192,Kumamoto dialect
Q1157179,Dagaaba people
Q1157736,Dakelh people
Q115781637,Indonesian Arabic
Q115842165,Afro-Catalan
Q11588909,Kanagawa dialect
Q1158971,Dan
Q11595357,Akita dialect
Q11602978,Chikuhō dialect
Q1160372,Laz
Q1162132,Wixarika
Q1162678,Romungrzy
Q1163234,medieval Latin
Q116340859,Maraguá
Q1164,Assam
Q1165171,Iraqi Turkmen
Q1165330,Yakoma people
Q11654322,Nagano dialect
Q1165955,Mossi people
Q1165960,Ngbaka people
Q116603700,Mexican English
Q11663030,Shizuoka dialect
Q11667077,New Tokyo dialect
Q1167192,Hesquiaht First Nation
Q11685635,Bolivian Americans
Q116971,Mohawk
Q117100,Kiowa people
Q117133,Comanche
Q117191,Cree
Q117255,Hopi people
Q11732537,Nyanja language
Q11732757,Old Romanian
Q117455974,Catalan Caló
Q117458,Crimean Tatars
Q117817135,Onondaga
Q1178505,Csángó
Q11822008,Poles in Sweden
Q118281,Kannada people
Q118393984,Malay people of Bangka
Q1185127,Louisiana Creole
Q11858947,Southern Sámi people
Q118611112,toubou
Q118664294,provençal rhodanien
Q1186896,Nawat
Q11871956,Classical Greek
Q1187403,Mongols in China
Q11888082,piitimensaamelaiset
Q1189494,Indian Malaysians
Q1189552,Polish Americans
Q11904259,Black Puerto Rican
Q11906349,tensí
Q1191393,Kansai dialect
Q1192173,Galician-Asturian
Q1192295,Juǀʼhoansi
Q1193617,Hoa people
Q1193712,Resian
Q1193808,Norwegian Americans
Q1194795,Maghrebi Arabic
Q1195125,Cubans
Q119626246,cevenòu
Q1196645,Canadians
Q1196649,Kashmiri people
Q1199751,Kelantan-Pattani Malay
Q1200528,Malaysian Chinese
Q12014472,Khuzestani Arabs
Q1201737,German Australians
Q120601,Omaha Tribe of Nebraska
Q12060728,Aboriginal Australians
Q1207351,Chinese Canadians
Q1207611,Crow
Q1207739,Puquina
Q120835868,North Coast Sundanese
Q1208368,dialects in Saarland
Q1209676,Mexicans
Q12107,Breton
Q1211934,Hispanics
Q121364085,Cook Islands New Zealanders
Q12156663,Cochiti
Q1215876,Hiberno-Latin
Q12175,Manx
Q12179603,Lebanese Australians
Q12180107,Kurds in Iraq
Q121842,French
Q1218654,Camera Lucida
Q122194993,Kwanyama
Q12223,Kurds
Q12237464,Alexandrian dialect
Q12237465,Bahraini Gulf Arabic
Q12257607,Euskalduna
Q12257903,Fon people
Q12258978,Hegoaldeko goi nafarrera
Q1226906,Diola people
Q12274130,Българин
Q12289,Old Latin
Q12291029,Pomaks in Bulgaria
Q122957997,people from Madrid
Q122984066,people from Mallorca
Q1231625,Romanesco
Q1231805,Proto-Greek
Q123358254,Croatian British
Q1234581,Igorot peoples
Q1235705,Tiv people
Q12360214,bass guitarist
Q123751807,Palestinians in Israel
Q1238032,Dominican Spanish
Q123864557,ישראלית
Q12404065,Israeli Americans
Q124047417,Peranakan Chinese
Q124173455,Kakwa People
Q1242155,Albanians in Kosovo
Q124216,Swiss
Q124282395,Pidgin English
Q124321869,Ecuadorian Canadians
Q124353492,Bargees
Q124364175,Polish Jews
Q124369945,Kola Sámi
Q1246397,Contemporary Latin
Q124692539,Korean Germans
Q1247932,Ecclesiastical Latin
Q12480578,Algerians
Q1248221,Neo-Latin
Q1248654,talian
Q1248791,Nakota
Q1248800,Common Brittonic
Q124901,West Semitic
Q12497929,Palembang
Q1250259,Ambonese
Q1250849,Pākehā
Q125258960,Belgian German
Q125351790,Luo
Q1253814,Kaithi
Q1255761,Southern Tutchone people
Q1255780,Yao people
Q1257799,Ovimbundu people
Q1257826,Lenca people
Q1258074,Sindhis
Q125822634,Surinamese Dutch
Q1258905,Madurese
Q1260346,Santal people
Q126047554,Alienígena
Q1261777,Serbian Americans
Q1262011,Tagalog people
Q1262389,Serbs in North Macedonia
Q1262708,Mazatec people
Q12627923,Bikol
Q12628222,Bosniaks of Serbia
Q1263088,Seri people
Q12632439,Croats of Italy
Q12632446,Croats of Sweden
Q12633026,Rinconada Bikol
Q12633608,Jemez Puebloans
Q12635887,Lumbee
Q12636991,Mina
Q126387769,Vietnamese Belgians
Q12641662,San Carlos Apache Tribe
Q12642598,Central American Indian languages
Q12645549,Western Arrarnta
Q12645717,Zia people
Q1265028,Marathi people
Q1266593,Bodo tribe
Q1266626,Balinese
Q126756,Basques
Q1267760,Dusun people
Q1267932,Schleuh people
Q1267987,Malayali
Q12683226,Tenggarong
Q1268882,Quapaw
Q126922060,Malaysian people of British descent
Q126922076,Malaysian people of Scottish descent
Q12718725,strilamål
Q12720866,Arabs in Romania
Q1273591,Munduruku people
Q127515,Chipewyan people
Q1276073,Chileans
Q1277335,Oron
Q127885,Serbs
Q1280677,Serbs of Croatia
Q1281236,Guyanese
Q1282294,Gujarati people
Q12826303,Luo people
Q1282763,Tahitians
Q1283558,Ngāpuhi
Q1283606,Native Hawaiians
Q1284276,Wichís
Q1284877,Kija
Q12859294,Pakistani English
Q1286876,Maltese people
Q1287326,Edo people
Q1287940,Assamese people
Q128825,Turks in Bulgaria
Q1290108,Croats of Serbia
Q1290529,Syrian Turkmen
Q1290600,Visayans
Q1290668,ni-Vanuatu
Q129167917,Arabe
Q129175709,Japanese people of Filipino descents
Q129175749,Japanese people of Canadian descents
Q1293737,Bicolano people
Q1294018,Adi people
Q1294047,Sasak
Q1294121,Pangasinan people
Q129431,Prekmurje Slovene
Q1295107,Forest Nenets
Q12952337,Paite
Q12953579,Mayoyao
Q12953639,Kituba (Congo)
Q12953686,Mahali
Q1295544,Fang people
Q12960308,Trinidadians and Tobagonians
Q129648,Jejuan
Q1296766,Shuar
Q129962,Zulu people
Q13022730,Khorat Thai
Q13027713,Southern Thai people
Q1307911,chicano
Q1308571,Ilmthüringisch
Q131138924,Japanese  people of Australian descents
Q131242,Eskimo
Q131339,Alemannic
Q13142586,Pumattertitsch
Q13142633,Greschoneytitsch
Q13142774,Markgräflerisch
Q131480191,Azorean Canadians
Q13155057,Ndebele
Q13156645,mundu
Q13175353,Kyrgyz in Uzbekistan
Q1318423,Australians
Q131848,Italic
Q13192,Qashqai
Q13196,Rajasthani
Q13198,Réunion Creole
Q13199,Romansh
Q13201,Romani
Q13207,Runyankole
Q1321,Spanish
Q13210,Russian Sign Language
Q13211,Ruthenian
Q13214,Zapotec
Q13218,Xhosa
Q13220,Xiang Chinese
Q1322020,Ijaw
Q1322825,Kamchadals
Q13235,Udege
Q13238,Udmurt
Q13239,Ulch
Q13248,Upper Sorbian
Q13257,Urum
Q13263,Uyghur
Q132659,Egyptian hieroglyphs
Q13267,Sinhala
Q13268,Sioux
Q13271,Skolt Sami
Q13272,Slavey
Q13275,Somali
Q132776224,Tokelauans
Q13286,Lower Sorbian
Q132874,Lisp
Q13292,Sourashtra
Q13293,Southern Sami
Q13300,Nahuatl
Q13301,Khoekhoe
Q13303,Nanai
Q133032,Hungarians
Q13307,Nauruan
Q13310,Navajo
Q13311,Ndau
Q13316,Mikasuki
Q13321,Mi'kmaq
Q13324,Minangkabau
Q133255,Bulgarians
Q13330,Mirandese
Q13339,Mohawk
Q13343,Moksha
Q13349,Mon
Q13351,Innu-aimun
Q13353,Montserrat
Q13354,Yucatec Maya
Q13356,Mazanderani
Q13357,Meänkieli
Q13358,Megleno-Romanian
Q13359,Mingrelian
Q13366,Meroitic
Q133853462,Unterallgäuerisch
Q133875426,Mancunian Irish
Q13389,Bashkir
Q1339276,Chinese Tatars
Q13405512,Bühnendeutsch
Q13414913,Simplified Chinese
Q13437115,Ohkay Owingeh
Q1344183,English Americans
Q134462946,"Igbo Language and Culture, vol 2"
Q134563630,Viidushi Tiwari
Q1346254,Gilaki people
Q1348800,Indian English
Q1349118,Selk'nam people
Q134936,Quechua people
Q13510225,Tejalapan Zapotec
Q135305,Bihari
Q135410381,Penobscot
Q135595,languages of India
Q1355983,Ermländisch
Q13560779,Gullah
Q135677363,Jews in Memphis
Q135863,Algonquin people
Q1359718,Hupa
Q136091363,Tyrolean
Q136222336,Japanese people of Venezuelan descent
Q1363055,Belizean Creole
Q1363072,Guianan Creole
Q13635519,Greeks in Belgium
Q13636869,Hungarian Sign Language
Q1363781,indigenous peoples in Brazil
Q13646143,Malaysian Mandarin
Q13648403,Meriam people
Q1365234,Russians in China
Q1365342,Yenish
Q1365830,Romani people in Spain
Q1366643,Swiss High German
Q1369944,French Americans
Q1370194,Estonian Swedish
Q1375066,Pitjantjatjara people
Q1377716,Belgians
Q137784291,Italo-Paulista
Q1378555,multiracial people
Q1389123,Koyukon people
Q13955,Arabic
Q1398263,Liechtensteinisch
Q1399453,nagea
Q1401272,Macedonians
Q1401612,Lunfardo
Q140328,Zaghawa people
Q140420,Rusyns
Q1404296,Belgian Dutch
Q140472,Silesians
Q1405077,Kwanyama
Q1406574,Gunwinggu
Q1411194,Inari Sami people
Q1412,Finnish
Q1413685,Filipino Americans
Q1413694,Philippine English
Q1417088,Iñupiaq people
Q141817,German Americans
Q14184174,Southern Languedocian
Q14185,Occitan
Q14196,Afrikaans
Q142,France
Q1420205,Pulaar
